timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_mem_mb
02:44:36,9.5,106.8,49.9,0,1091,18,0,0
02:44:43,16,106.8,49.9,0,1091,18,0,0
02:44:48,21,106.8,49.9,0,1091,18,0,0
02:44:53,26,106.8,49.9,0,1091,18,0,0
02:44:58,31,1.1,49.9,0,1092,18,0,0
02:45:03,36.1,1.3,49.9,0,1092,18,0,0
02:45:08,41.1,3.5,49.4,0,1052,10,0,0
02:45:13,46.1,3.5,49.4,0,1052,10,0,0
02:45:18,51.1,3.5,49.4,0,1052,10,0,0
02:45:23,56.1,3.5,49.4,0,1052,10,0,0
02:45:28,61.2,1.3,48.2,0,1051,7,0,0
02:45:33,66.2,1.5,48.2,0,1051,7,0,0
