timestamp,elapsed_s,ws_mb,private_mb,cpu_pct,handles,threads,gpu_pct,gpu_mem_mb
03:21:24,9.2,360.4,340.8,0.5,3084,111,24.2,172.8
03:21:33,17.7,445.1,415.2,0.3,3084,113,23.6,81.8
03:21:41,25.7,482.8,443.5,0.5,3085,113,24.5,176.8
03:21:49,33.8,457.3,440.8,0.4,3087,113,21.9,173.3
03:21:57,41.8,455.5,417.1,0.5,3089,113,24.3,176.3
03:22:05,49.9,419.9,376.8,0.4,3090,113,19.8,172.2
03:22:13,57.9,473.3,436.4,0.4,3092,113,24.2,176.2
03:22:21,66,417.9,374,0.3,3090,110,17.5,177.9
03:22:29,74,451.7,421.3,0.5,3092,109,24.1,176.2
03:22:37,82.1,409.5,366.1,0.3,3093,109,25.3,172.8
03:22:45,90.2,449,415.4,0.3,3095,109,24.2,228.7
03:22:53,98.2,417.9,390,0.5,3096,110,27.3,172.2
03:23:01,106.3,451.2,418,0.5,3098,110,23.7,48.4
03:23:09,114.3,452.9,414.2,0.4,3099,110,24.4,176.8
03:23:18,122.4,451.2,415.7,0.4,3101,110,23.4,228.7
03:23:26,130.4,457.8,418.7,0.4,3102,109,24.5,173.8
03:23:34,138.5,424.4,417.7,0.4,3104,109,21.6,173.3
03:23:42,146.5,424,428.8,0.4,3097,108,26.2,176.8
03:23:50,154.6,390.1,393.9,0.4,3107,109,24.3,177.3
03:23:58,162.6,372.7,426.5,0.5,3109,109,23,176.2
03:24:06,170.7,326.2,359.5,0.5,3110,109,18.8,176.8
03:24:14,178.7,376,426.8,0.5,3072,101,23.2,177.3
03:24:22,186.8,338.7,359.7,0.4,3073,99,16.8,178.9
