0.000000,105.492,0
0.016667,105.494,0.106953
0.033333,105.494,0.0025651
0.050000,105.538,0.324844
0.066667,105.538,0.190671
0.083333,105.563,0.268652
0.100000,105.548,0.235208
0.116667,105.555,0.546725
0.133333,105.557,0.00665365
0.166667,105.538,0.381361
0.200000,105.52,0.753249
0.233333,105.531,0.159303
0.266667,105.604,0.854993
0.300000,105.625,0.187949
0.316667,105.645,0.251068
0.333333,105.772,0.646283
0.350000,105.815,0.211732
0.366667,105.818,0.00363281
0.383333,105.827,0.255
0.400000,105.876,0.260293
0.416667,105.91,0.389941
0.433333,105.78,1.11717
0.450000,105.762,0.17224
0.483333,105.811,0.795697
0.500000,105.811,0.000677083
0.516667,105.789,0.128398
0.533333,105.791,0.00267578
0.550000,105.808,0.982389
0.566667,105.834,0.266582
0.583333,105.828,0.166719
0.600000,105.787,0.95888
0.616667,105.789,0.00274089
0.650000,105.726,0.490072
0.683333,105.684,0.227923
0.716667,105.554,0.758483
0.733333,105.553,0.00183594
0.750000,105.527,0.138145
0.766667,105.479,0.24444
0.783333,105.248,0.6164
0.800000,105.193,0.166061
0.816667,105.11,0.24028
0.833333,105.106,0.00550781
0.850000,105.051,0.223496
0.866667,104.831,0.569811
0.900000,104.796,0.107904
0.933333,104.621,0.543105
0.950000,104.62,0.00146484
0.966667,104.62,0
0.983333,104.449,0.527676
1.000000,104.317,0.360378
1.016667,104.306,0.0154297
1.033333,104.192,0.579577
1.066667,104.113,0.401986
1.100000,103.958,0.538132
1.116667,103.957,0.00480469
1.133333,103.948,0.108841
1.150000,103.938,0.157103
1.166667,103.937,0.00223958
1.183333,103.867,0.292637
1.200000,103.822,0.282148
1.233333,103.746,0.346367
1.266667,103.727,0.292806
1.300000,103.709,0.397389
1.316667,103.698,0.115553
1.333333,103.699,0.00139974
1.350000,103.723,0.143197
1.366667,103.722,0.227891
1.383333,103.726,0.0100716
1.400000,103.689,0.277565
1.416667,103.644,1.14757
1.433333,103.636,0.053444
1.466667,103.64,0.0382813
1.500000,103.672,0.328822
1.516667,103.658,0.122415
1.533333,103.652,0.0839583
1.550000,103.633,0.17071
1.566667,103.646,0.209115
1.583333,103.661,0.177441
1.600000,103.681,0.185397
1.616667,103.667,0.155169
1.650000,103.69,0.191172
1.683333,103.666,0.367858
1.716667,103.71,0.330514
1.733333,103.722,0.0956966
1.750000,103.718,0.076237
1.766667,103.739,0.0636198
1.783333,103.741,0.0056901
1.800000,103.733,0.463079
1.816667,103.734,0.0019401
1.833333,103.734,0
1.850000,103.764,0.305391
1.866667,103.793,0.366009
1.900000,103.808,0.0716536
1.933333,103.803,0.359714
1.950000,103.804,0.00984375
1.966667,103.806,0.0631055
1.983333,103.822,0.465638
2.000000,103.832,0.0626758
2.016667,103.829,0.14112
2.033333,103.828,0.00524089
2.050000,103.895,0.315514
2.083333,103.913,0.209076
2.116667,103.933,0.310996
2.133333,103.925,0.115072
2.150000,103.923,0.00354818
2.166667,103.919,0.0872526
2.183333,103.341,0.677975
2.200000,103.337,0.28638
2.216667,103.34,0.00497396
2.233333,103.338,0.146296
2.250000,103.341,0.104531
2.266667,103.314,0.154954
2.283333,103.34,0.321589
2.316667,103.325,0.185944
2.350000,103.323,0.0860612
2.366667,103.321,0.208848
2.383333,103.329,0.0957617
2.400000,103.318,0.120911
2.416667,103.321,0.284479
2.433333,103.386,0.488724
2.450000,103.371,0.151471
2.466667,103.324,0.343184
2.500000,103.356,0.278379
2.533333,103.361,0.278112
2.550000,103.359,0.00208984
2.566667,103.386,0.246257
2.583333,103.386,0.133288
2.600000,103.338,0.345905
2.616667,103.343,0.00972005
2.633333,103.357,0.179557
2.650000,103.317,0.254896
2.683333,103.255,0.633867
2.716667,103.22,0.099987
2.750000,103.175,0.387331
2.766667,103.185,0.114622
2.783333,103.152,0.230605
2.800000,103.151,0.158314
2.816667,103.129,0.177122
2.833333,103.112,0.248405
2.850000,103.039,0.561901
2.883333,103.003,0.252305
2.916667,102.974,0.156497
2.950000,102.836,0.691172
2.966667,102.836,0.00221354
2.983333,102.725,0.299616
3.000000,102.717,0.177415
3.016667,102.715,0.00480469
3.033333,102.694,0.353451
3.050000,102.657,0.209056
3.066667,102.638,0.214486
3.100000,102.608,0.421367
3.133333,102.559,0.451953
3.150000,102.557,0.220365
3.183333,102.502,0.376035
3.200000,102.501,0.00222656
3.216667,102.467,0.441576
3.233333,102.468,0.00744141
3.250000,102.47,0.245775
3.266667,102.433,0.34375
3.283333,102.397,0.241003
3.316667,102.35,0.474004
3.350000,102.389,0.213568
3.383333,102.332,0.895918
3.400000,102.331,0.00681641
3.416667,102.326,0.0281966
3.433333,102.31,0.356328
3.450000,102.298,0.177103
3.466667,102.281,0.193717
3.483333,102.222,0.311842
3.500000,102.205,0.0255339
3.516667,102.223,0.559447
3.550000,102.312,0.536647
3.583333,102.332,0.141875
3.616667,102.399,0.690137
3.633333,102.4,0.00336589
3.650000,102.435,0.228503
3.666667,102.448,0.13916
3.683333,102.448,0.696504
3.700000,102.485,0.269102
3.716667,102.509,0.200065
3.750000,102.584,0.345651
3.783333,102.64,0.465254
3.816667,102.686,0.346569
3.833333,102.692,0.0122331
3.850000,102.709,0.449206
3.866667,102.71,0.00119792
3.883333,102.71,0
3.900000,102.758,0.484818
3.916667,102.737,0.0935026
3.933333,102.79,0.389954
3.950000,102.787,0.00554036
3.966667,102.778,0.431576
3.983333,102.731,0.30224
